y,x1,x2,x3,x4
306,309,298,295.5,287.5
311,306,309,298,295.5
310,311,306,309,298
300,310,311,306,309
298.5,300,310,311,306
286.5,298.5,300,310,311
289,286.5,298.5,300,310
290,289,286.5,298.5,300
288,290,289,286.5,298.5
291,288,290,289,286.5
290,291,288,290,289
290.5,290,291,288,290
287.5,290.5,290,291,288
292,287.5,290.5,290,291
287,292,287.5,290.5,290
281,287,292,287.5,290.5
280.5,281,287,292,287.5
280.5,280.5,281,287,292
296.5,280.5,280.5,281,287
311,296.5,280.5,280.5,281
314,311,296.5,280.5,280.5
311,314,311,296.5,280.5
313,311,314,311,296.5
307,313,311,314,311
316,307,313,311,314
308,316,307,313,311
309.5,308,316,307,313
309.5,309.5,308,316,307
307,309.5,309.5,308,316
300.5,307,309.5,309.5,308
308.5,300.5,307,309.5,309.5
308.5,308.5,300.5,307,309.5
310,308.5,308.5,300.5,307
313.5,310,308.5,308.5,300.5
315.5,313.5,310,308.5,308.5
311.5,315.5,313.5,310,308.5
310.5,311.5,315.5,313.5,310
313,310.5,311.5,315.5,313.5
314,313,310.5,311.5,315.5
314,314,313,310.5,311.5
319,314,314,313,310.5
317.5,319,314,314,313
319,317.5,319,314,314
321,319,317.5,319,314
314,321,319,317.5,319
313.5,314,321,319,317.5
318,313.5,314,321,319
322.5,318,313.5,314,321
318,322.5,318,313.5,314
314.5,318,322.5,318,313.5
314,314.5,318,322.5,318
310,314,314.5,318,322.5
302,310,314,314.5,318
304.5,302,310,314,314.5
308.5,304.5,302,310,314
314.5,308.5,304.5,302,310
308,314.5,308.5,304.5,302
313,308,314.5,308.5,304.5
313.5,313,308,314.5,308.5
319,313.5,313,308,314.5
325.5,319,313.5,313,308
314.5,325.5,319,313.5,313
314,314.5,325.5,319,313.5
316,314,314.5,325.5,319
312,316,314,314.5,325.5
309,312,316,314,314.5
318,309,312,316,314
316.5,318,309,312,316
323,316.5,318,309,312
318,323,316.5,318,309
319.5,318,323,316.5,318
316.5,319.5,318,323,316.5
322,316.5,319.5,318,323
353,322,316.5,319.5,318
351,353,322,316.5,319.5
347,351,353,322,316.5
345,347,351,353,322
342.5,345,347,351,353
343,342.5,345,347,351
345.5,343,342.5,345,347
366,345.5,343,342.5,345
365.5,366,345.5,343,342.5
367.5,365.5,366,345.5,343
370.5,367.5,365.5,366,345.5
364,370.5,367.5,365.5,366
365,364,370.5,367.5,365.5
367.5,365,364,370.5,367.5
374.5,367.5,365,364,370.5
378,374.5,367.5,365,364
374.5,378,374.5,367.5,365
375,374.5,378,374.5,367.5
382,375,374.5,378,374.5
383,382,375,374.5,378
382,383,382,375,374.5
380.5,382,383,382,375
386.5,380.5,382,383,382
388,386.5,380.5,382,383
387,388,386.5,380.5,382
380,387,388,386.5,380.5
376,380,387,388,386.5
369,376,380,387,388
376.5,369,376,380,387
372,376.5,369,376,380
379.5,372,376.5,369,376
385.5,379.5,372,376.5,369
384,385.5,379.5,372,376.5
384.5,384,385.5,379.5,372
372,384.5,384,385.5,379.5
370.5,372,384.5,384,385.5
367,370.5,372,384.5,384
360,367,370.5,372,384.5
371,360,367,370.5,372
370,371,360,367,370.5
369,370,371,360,367
371.5,369,370,371,360
372,371.5,369,370,371
381.5,372,371.5,369,370
379,381.5,372,371.5,369
387,379,381.5,372,371.5
393,387,379,381.5,372
396.5,393,387,379,381.5
408,396.5,393,387,379
405,408,396.5,393,387
412,405,408,396.5,393
425,412,405,408,396.5
434,425,412,405,408
425,434,425,412,405
414,425,434,425,412
403.5,414,425,434,425
410,403.5,414,425,434
408,410,403.5,414,425
410.5,408,410,403.5,414
422,410.5,408,410,403.5
419.5,422,410.5,408,410
421,419.5,422,410.5,408
414.5,421,419.5,422,410.5
407,414.5,421,419.5,422
411,407,414.5,421,419.5
418.5,411,407,414.5,421
420,418.5,411,407,414.5
422.5,420,418.5,411,407
431.5,422.5,420,418.5,411
