y,x1,x2,x3,x4
421.5,431.5,422.5,420,418.5
416.5,421.5,431.5,422.5,420
418,416.5,421.5,431.5,422.5
424.5,418,416.5,421.5,431.5
420,424.5,418,416.5,421.5
415,420,424.5,418,416.5
426.5,415,420,424.5,418
425,426.5,415,420,424.5
429,425,426.5,415,420
427.5,429,425,426.5,415
432.5,427.5,429,425,426.5
442,432.5,427.5,429,425
460.5,442,432.5,427.5,429
456.5,460.5,442,432.5,427.5
454.5,456.5,460.5,442,432.5
446,454.5,456.5,460.5,442
449,446,454.5,456.5,460.5
445,449,446,454.5,456.5
452,445,449,446,454.5
449,452,445,449,446
446.5,449,452,445,449
446.5,446.5,449,452,445
443.5,446.5,446.5,449,452
441.5,443.5,446.5,446.5,449
434.5,441.5,443.5,446.5,446.5
424,434.5,441.5,443.5,446.5
426,424,434.5,441.5,443.5
430.5,426,424,434.5,441.5
437,430.5,426,424,434.5
432,437,430.5,426,424
422,432,437,430.5,426
416,422,432,437,430.5
416,416,422,432,437
421,416,416,422,432
420.5,421,416,416,422
419,420.5,421,416,416
383.5,419,420.5,421,416
388,383.5,419,420.5,421
382,388,383.5,419,420.5
390.5,382,388,383.5,419
381,390.5,382,388,383.5
382,381,390.5,382,388
381,382,381,390.5,382
380,381,382,381,390.5
390,380,381,382,381
401.5,390,380,381,382
408.5,401.5,390,380,381
405.5,408.5,401.5,390,380
398,405.5,408.5,401.5,390
392,398,405.5,408.5,401.5
388.5,392,398,405.5,408.5
394,388.5,392,398,405.5
388,394,388.5,392,398
377,388,394,388.5,392
378.5,377,388,394,388.5
375,378.5,377,388,394
360,375,378.5,377,388
363,360,375,378.5,377
372,363,360,375,378.5
370.5,372,363,360,375
385,370.5,372,363,360
378.5,385,370.5,372,363
366.5,378.5,385,370.5,372
373.5,366.5,378.5,385,370.5
363,373.5,366.5,378.5,385
336,363,373.5,366.5,378.5
341,336,363,373.5,366.5
320,341,336,363,373.5
315.5,320,341,336,363
301.5,315.5,320,341,336
274,301.5,315.5,320,341
301,274,301.5,315.5,320
308,301,274,301.5,315.5
330,308,301,274,301.5
334.5,330,308,301,274
343.5,334.5,330,308,301
340,343.5,334.5,330,308
336.5,340,343.5,334.5,330
327.5,336.5,340,343.5,334.5
334,327.5,336.5,340,343.5
341,334,327.5,336.5,340
347,341,334,327.5,336.5
349.5,347,341,334,327.5
351.5,349.5,347,341,334
350,351.5,349.5,347,341
351.5,350,351.5,349.5,347
365.5,351.5,350,351.5,349.5
365.5,365.5,351.5,350,351.5
361.5,365.5,365.5,351.5,350
368,361.5,365.5,365.5,351.5
370,368,361.5,365.5,365.5
353.5,370,368,361.5,365.5
346,353.5,370,368,361.5
351,346,353.5,370,368
348.5,351,346,353.5,370
372,348.5,351,346,353.5
375,372,348.5,351,346
372.9165559923262,372.0,348.5,351.0,346.0
374.6276808772486,372.9165559923262,372.0,348.5,351.0
373.58845298110344,374.6276808772486,372.9165559923262,372.0,348.5
373.65896786340505,373.5884529811034,374.6276808772486,372.9165559923262,372.0
373.5750520486437,373.65896786340505,373.5884529811034,374.6276808772486,372.9165559923262
373.69766137419435,373.5750520486437,373.65896786340505,373.5884529811034,374.6276808772486
373.76114362286336,373.6976613741944,373.5750520486437,373.65896786340505,373.5884529811034
373.84130175221657,373.7611436228634,373.6976613741944,373.5750520486437,373.65896786340505
373.90644709224483,373.84130175221657,373.7611436228634,373.6976613741944,373.5750520486437
373.97382270879024,373.9064470922448,373.84130175221657,373.7611436228634,373.6976613741944
