y,x1,x2,x3,x4
259,265,259,259,259.5
262.5,259,265,259,259
260,262.5,259,265,259
256.5,260,262.5,259,265
256,256.5,260,262.5,259
250.5,256,256.5,260,262.5
248.5,250.5,256,256.5,260
249,248.5,250.5,256,256.5
247,249,248.5,250.5,256
241.5,247,249,248.5,250.5
238,241.5,247,249,248.5
234,238,241.5,247,249
238,234,238,241.5,247
230,238,234,238,241.5
233,230,238,234,238
231,233,230,238,234
230.5,231,233,230,238
229.5,230.5,231,233,230
231,229.5,230.5,231,233
235.5,231,229.5,230.5,231
238,235.5,231,229.5,230.5
233,238,235.5,231,229.5
235,233,238,235.5,231
232,235,233,238,235.5
240,232,235,233,238
244.5,240,232,235,233
246,244.5,240,232,235
240,246,244.5,240,232
236,240,246,244.5,240
233,236,240,246,244.5
235.5,233,236,240,246
244,235.5,233,236,240
245,244,235.5,233,236
248.5,245,244,235.5,233
241,248.5,245,244,235.5
238.5,241,248.5,245,244
234.5,238.5,241,248.5,245
240.5,234.5,238.5,241,248.5
239,240.5,234.5,238.5,241
248.5,239,240.5,234.5,238.5
249,248.5,239,240.5,234.5
242.5,249,248.5,239,240.5
244,242.5,249,248.5,239
243,244,242.5,249,248.5
242.5,243,244,242.5,249
242,242.5,243,244,242.5
247,242,242.5,243,244
250,247,242,242.5,243
250.5,250,247,242,242.5
254.5,250.5,250,247,242
256,254.5,250.5,250,247
252,256,254.5,250.5,250
254,252,256,254.5,250.5
259,254,252,256,254.5
264,259,254,252,256
264,264,259,254,252
265,264,264,259,254
265,265,264,264,259
261,265,265,264,264
261,261,265,265,264
260,261,261,265,265
259.5,260,261,261,265
256.5,259.5,260,261,261
251.5,256.5,259.5,260,261
246.5,251.5,256.5,259.5,260
248.5,246.5,251.5,256.5,259.5
248,248.5,246.5,251.5,256.5
253.5,248,248.5,246.5,251.5
251,253.5,248,248.5,246.5
246.5,251,253.5,248,248.5
249.5,246.5,251,253.5,248
248,249.5,246.5,251,253.5
250,248,249.5,246.5,251
252,250,248,249.5,246.5
254.5,252,250,248,249.5
254.5,254.5,252,250,248
254,254.5,254.5,252,250
254,254,254.5,254.5,252
248.5,254,254,254.5,254.5
250,248.5,254,254,254.5
252,250,248.5,254,254
254,252,250,248.5,254
259,254,252,250,248.5
257.5,259,254,252,250
254,257.5,259,254,252
257.5,254,257.5,259,254
263,257.5,254,257.5,259
263.5,263,257.5,254,257.5
261.5,263.5,263,257.5,254
263,261.5,263.5,263,257.5
262.5,263,261.5,263.5,263
265.5,262.5,263,261.5,263.5
265,265.5,262.5,263,261.5
267,265,265.5,262.5,263
265,267,265,265.5,262.5
264,265,267,265,265.5
264,264,265,267,265
265,264,264,265,267
266,265,264,264,265
268,266,265,264,264
272,268,266,265,264
280,272,268,266,265
279.5,280,272,268,266
276.5,279.5,280,272,268
276.5,276.5,279.5,280,272
278,276.5,276.5,279.5,280
286.5,278,276.5,276.5,279.5
282,286.5,278,276.5,276.5
290,282,286.5,278,276.5
293.5,290,282,286.5,278
296.5,293.5,290,282,286.5
293.5,296.5,293.5,290,282
293,293.5,296.5,293.5,290
290,293,293.5,296.5,293.5
294,290,293,293.5,296.5
293,294,290,293,293.5
293,293,294,290,293
293.5,293,293,294,290
294.5,293.5,293,293,294
298.5,294.5,293.5,293,293
299.5,298.5,294.5,293.5,293
298.5,299.5,298.5,294.5,293.5
299,298.5,299.5,298.5,294.5
307,299,298.5,299.5,298.5
310.5,307,299,298.5,299.5
311,310.5,307,299,298.5
309,311,310.5,307,299
305.5,309,311,310.5,307
301,305.5,309,311,310.5
305,301,305.5,309,311
304,305,301,305.5,309
303.5,304,305,301,305.5
307,303.5,304,305,301
311,307,303.5,304,305
315,311,307,303.5,304
313.5,315,311,307,303.5
311,313.5,315,311,307
309,311,313.5,315,311
307,309,311,313.5,315
307,307,309,311,313.5
311,307,307,309,311
309.5,311,307,307,309
305,309.5,311,307,307
307.5,305,309.5,311,307
307,307.5,305,309.5,311
306,307,307.5,305,309.5
312,306,307,307.5,305
313,312,306,307,307.5
316,313,312,306,307
313.5,316,313,312,306
319,313.5,316,313,312
331.5,319,313.5,316,313
339,331.5,319,313.5,316
336,339,331.5,319,313.5
345,336,339,331.5,319
344.5,345,336,339,331.5
335,344.5,345,336,339
329,335,344.5,345,336
334,329,335,344.5,345
332,334,329,335,344.5
333,332,334,329,335
333,333,332,334,329
338,333,333,332,334
334.5,338,333,333,332
331,334.5,338,333,333
339,331,334.5,338,333
339.5,339,331,334.5,338
332,339.5,339,331,334.5
329.5,332,339.5,339,331
329.5,329.5,332,339.5,339
337.5,329.5,329.5,332,339.5
339.5,337.5,329.5,329.5,332
341.5,339.5,337.5,329.5,329.5
346,341.5,339.5,337.5,329.5
340,346,341.5,339.5,337.5
334.5,340,346,341.5,339.5
333,334.5,340,346,341.5
333,333,334.5,340,346
316.5,333,333,334.5,340
320,316.5,333,333,334.5
315,320,316.5,333,333
325,315,320,316.5,333
327.5,325,315,320,316.5
332.5,327.5,325,315,320
328,332.5,327.5,325,315
327.5,328,332.5,327.5,325
331.5,327.5,328,332.5,327.5
335,331.5,327.5,328,332.5
335,335,331.5,327.5,328
335,335,335,331.5,327.5
331.5,335,335,335,331.5
322,331.5,335,335,335
326.5,322,331.5,335,335
325.5,326.5,322,331.5,335
325,325.5,326.5,322,331.5
320,325,325.5,326.5,322
322,320,325,325.5,326.5
318.5,322,320,325,325.5
316,318.5,322,320,325
311,316,318.5,322,320
317.5,311,316,318.5,322
320.5,317.5,311,316,318.5
323,320.5,317.5,311,316
315,323,320.5,317.5,311
305.5,315,323,320.5,317.5
307,305.5,315,323,320.5
302,307,305.5,315,323
294,302,307,305.5,315
290,294,302,307,305.5
276.5,290,294,302,307
268,276.5,290,294,302
260,268,276.5,290,294
248,260,268,276.5,290
270,248,260,268,276.5
255,270,248,260,268
267.5,255,270,248,260
277,267.5,255,270,248
280,277,267.5,255,270
273,280,277,267.5,255
267.5,273,280,277,267.5
274,267.5,273,280,277
271.5,274,267.5,273,280
275.5,271.5,274,267.5,273
283,275.5,271.5,274,267.5
285,283,275.5,271.5,274
283,285,283,275.5,271.5
279.5,283,285,283,275.5
278.5,279.5,283,285,283
285,278.5,279.5,283,285
287.5,285,278.5,279.5,283
286.5,287.5,285,278.5,279.5
306.5,286.5,287.5,285,278.5
304,306.5,286.5,287.5,285
295,304,306.5,286.5,287.5
294,295,304,306.5,286.5
295.5,294,295,304,306.5
294,295.5,294,295,304
298,294,295.5,294,295
296.5,298,294,295.5,294
296.8119938,296.5,298,294,295.5
296.6113111,296.8119938,296.5,298,294
296.67389,296.6113111,296.8119938,296.5,298
296.6530042,296.67389,296.6113111,296.8119938,296.5
296.66308,296.6530042,296.67389,296.6113111,296.8119938
296.6606201,296.66308,296.6530042,296.67389,296.6113111
296.6624516,296.6606201,296.66308,296.6530042,296.67389
296.6626247,296.6624516,296.6606201,296.66308,296.6530042
