Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,41.049999,41.549999,41.049999,41.500000,41.500000,4543660
2019-04-30,41.650002,41.750000,41.400002,41.750000,41.750000,4518916
2019-05-02,41.549999,42.099998,41.500000,42.049999,42.049999,7532966
2019-05-03,42.000000,42.400002,41.950001,42.349998,42.349998,3344330
2019-05-06,41.700001,41.950001,41.500000,41.599998,41.599998,4896691
2019-05-07,41.650002,42.099998,41.500000,42.099998,42.099998,6887577
2019-05-08,41.900002,42.450001,41.799999,42.049999,42.049999,4004478
2019-05-09,41.799999,42.099998,41.650002,41.849998,41.849998,4910804
2019-05-10,41.799999,42.099998,41.400002,41.700001,41.700001,5860785
2019-05-13,41.750000,41.900002,41.250000,41.400002,41.400002,3856850
2019-05-14,41.000000,41.049999,40.400002,41.000000,41.000000,9462521
2019-05-15,40.599998,41.299999,40.599998,40.900002,40.900002,4882417
2019-05-16,41.299999,42.849998,41.299999,42.650002,42.650002,21974832
2019-05-17,43.200001,43.900002,42.950001,43.750000,43.750000,19164574
2019-05-20,44.000000,44.450001,43.549999,44.000000,44.000000,12113236
2019-05-21,44.200001,44.500000,43.849998,44.400002,44.400002,13257374
2019-05-22,43.950001,44.200001,43.700001,43.900002,43.900002,6227937
2019-05-23,43.900002,44.500000,43.799999,43.900002,43.900002,10590558
2019-05-24,44.000000,44.299999,43.700001,43.750000,43.750000,8696694
2019-05-27,44.049999,44.099998,43.450001,43.450001,43.450001,5475029
2019-05-28,43.500000,43.599998,42.849998,43.000000,43.000000,13931072
2019-05-29,43.000000,43.900002,42.750000,43.849998,43.849998,8706403
2019-05-30,43.650002,44.950001,43.599998,44.950001,44.950001,11932521
2019-05-31,44.650002,45.099998,44.150002,45.099998,45.099998,9735482
2019-06-03,45.000000,45.750000,44.400002,45.500000,45.500000,8447524
2019-06-04,45.799999,46.049999,45.299999,45.299999,45.299999,8100557
2019-06-05,45.500000,45.900002,45.400002,45.650002,45.650002,7397972
2019-06-06,45.500000,46.000000,45.400002,45.849998,45.849998,7837392
2019-06-10,45.849998,46.000000,45.599998,45.900002,45.900002,6276958
2019-06-11,45.900002,46.750000,45.900002,46.750000,46.750000,10459321
2019-06-12,46.500000,46.950001,46.200001,46.750000,46.750000,6919221
2019-06-13,46.500000,46.700001,45.799999,46.150002,46.150002,8387569
2019-06-14,45.799999,46.400002,45.799999,46.349998,46.349998,6032211
2019-06-17,46.200001,47.000000,46.099998,46.750000,46.750000,4284109
2019-06-18,46.799999,47.000000,46.599998,47.000000,47.000000,6689189
2019-06-19,47.000000,47.400002,46.799999,47.400002,47.400002,7811394
2019-06-20,47.500000,48.000000,47.200001,47.650002,47.650002,7078176
2019-06-21,47.650002,47.799999,46.650002,46.650002,46.650002,10972177
2019-06-24,46.799999,47.500000,46.700001,47.450001,47.450001,5605617
2019-06-25,47.049999,47.299999,46.799999,47.299999,47.299999,4932850
2019-06-26,47.400002,47.549999,47.099998,47.349998,47.349998,5042827
2019-06-27,47.500000,48.900002,47.450001,48.900002,48.900002,13640617
2019-06-28,48.349998,48.500000,47.549999,47.549999,47.549999,10677565
2019-07-01,47.599998,48.000000,47.549999,47.700001,47.700001,4401369
2019-07-02,48.099998,48.599998,47.849998,48.599998,48.599998,8474769
2019-07-03,48.299999,48.450001,47.750000,48.000000,48.000000,7913985
2019-07-04,48.099998,48.099998,47.299999,47.599998,47.599998,6965077
2019-07-05,47.799999,48.500000,47.799999,48.450001,48.450001,7003105
2019-07-08,48.500000,48.500000,47.750000,48.000000,48.000000,5994837
2019-07-09,48.400002,48.450001,47.900002,48.049999,48.049999,9536055
2019-07-10,48.200001,48.599998,47.900002,48.500000,48.500000,8955120
2019-07-11,48.299999,48.299999,46.700001,47.150002,47.150002,22314500
2019-07-12,46.200001,46.950001,45.500000,46.099998,46.099998,20959670
2019-07-15,46.150002,46.599998,45.650002,46.049999,46.049999,9524259
2019-07-16,46.400002,46.500000,46.000000,46.400002,46.400002,8402131
2019-07-17,46.799999,46.900002,46.099998,46.549999,46.549999,7695273
2019-07-18,46.700001,46.700001,46.049999,46.400002,46.400002,7211425
2019-07-19,46.200001,46.650002,46.099998,46.200001,46.200001,11560108
2019-07-22,46.900002,46.900002,46.200001,46.349998,46.349998,11860931
2019-07-23,46.799999,46.849998,46.049999,46.799999,46.799999,19007469
2019-07-24,43.200001,43.549999,42.900002,42.900002,42.900002,23186818
2019-07-25,42.750000,42.950001,42.000000,42.099998,42.099998,13051427
2019-07-26,42.250000,42.700001,41.950001,42.250000,42.250000,7707479
2019-07-29,42.099998,42.349998,42.000000,42.150002,42.150002,5421560
2019-07-30,42.250000,42.500000,42.049999,42.099998,42.099998,7233094
2019-07-31,42.099998,42.250000,41.650002,41.799999,41.799999,9489412
2019-08-01,41.450001,41.700001,41.200001,41.400002,41.400002,8384463
2019-08-02,41.000000,41.400002,40.700001,41.000000,41.000000,9159560
2019-08-05,40.950001,41.750000,40.900002,41.200001,41.200001,8356006
2019-08-06,40.900002,40.900002,40.250000,40.650002,40.650002,8081368
2019-08-07,40.849998,40.950001,40.349998,40.450001,40.450001,5817921
2019-08-08,40.700001,41.349998,40.599998,41.200001,41.200001,9239526
2019-08-12,41.299999,41.400002,40.700001,41.000000,41.000000,6261311
2019-08-13,40.799999,40.799999,40.400002,40.400002,40.400002,6333207
