Close
287.5
295.5
298
309
306
311
310
300
298.5
286.5
289
290
288
291
290
290.5
287.5
292
287
281
280.5
280.5
296.5
311
314
311
313
307
316
308
309.5
309.5
307
300.5
308.5
308.5
310
313.5
315.5
311.5
310.5
313
314
314
319
317.5
319
321
314
313.5
318
322.5
318
314.5
314
310
302
304.5
308.5
314.5
308
313
313.5
319
325.5
314.5
314
316
312
309
318
316.5
323
318
319.5
316.5
322
353
351
347
345
342.5
343
345.5
366
365.5
367.5
370.5
364
365
367.5
374.5
378
374.5
375
382
383
382
380.5
386.5
388
387
380
376
369
376.5
372
379.5
385.5
384
384.5
372
370.5
367
360
371
370
369
371.5
372
381.5
379
387
393
396.5
408
405
412
425
434
425
414
403.5
410
408
410.5
422
419.5
421
414.5
407
411
418.5
420
422.5
431.5
421.5
416.5
418
424.5
420
415
426.5
425
429
427.5
432.5
442
460.5
456.5
454.5
446
449
445
452
449
446.5
446.5
443.5
441.5
434.5
424
426
430.5
437
432
422
416
416
421
420.5
419
383.5
388
382
390.5
381
382
381
380
390
401.5
408.5
405.5
398
392
388.5
394
388
377
378.5
375
360
363
372
370.5
385
378.5
366.5
373.5
363
336
341
320
315.5
301.5
274
301
308
330
334.5
343.5
340
336.5
327.5
334
341
347
349.5
351.5
350
351.5
365.5
365.5
361.5
368
370
353.5
346
351
348.5
372
375
390
